y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI,y2_state,y2_state_name
02,50,VT,Vermont,34,54,2518,VT,Vermont
02,11,DC,District Of Columbia,27,32,1843,DC,District Of Columbia
02,10,DE,Delaware,26,54,2104,DE,Delaware
02,44,RI,Rhode Island,20,33,1340,RI,Rhode Island
04,96,US+FO,Total Migration-US and Foreign,106457,178974,8043964,US+FO,Total Migration-US and Foreign
04,97,US,Total Migration-US,104359,175302,7888820,US,Total Migration-US
04,98,FO,Total Migration-Foreign,2098,3672,155145,FO,Total Migration-Foreign
04,97,US,Total Migration-US,49536,87245,3063368,US,Total Migration-US
04,04,AZ,Arizona,2751830,5449252,252563347,AZ,Arizona
04,06,CA,California,16283,26082,1224370,CA,California
04,48,TX,Texas,9966,17750,800298,TX,Texas
04,53,WA,Washington,5803,9327,514379,WA,Washington
04,08,CO,Colorado,5683,8903,466663,CO,Colorado
04,12,FL,Florida,5096,8474,482120,FL,Florida
04,17,IL,Illinois,3606,5634,256413,IL,Illinois
04,32,NV,Nevada,3387,5694,232812,NV,Nevada
04,49,UT,Utah,3239,6014,208647,UT,Utah
04,41,OR,Oregon,3130,4866,224975,OR,Oregon
04,35,NM,New Mexico,3006,5229,170209,NM,New Mexico
04,37,NC,North Carolina,2863,5167,231140,NC,North Carolina
04,36,NY,New York,2528,3582,189062,NY,New York
04,26,MI,Michigan,2521,4229,175553,MI,Michigan
04,39,OH,Ohio,2240,3873,157672,OH,Ohio
04,47,TN,Tennessee,2188,3988,180749,TN,Tennessee
04,27,MN,Minnesota,2175,3508,168494,MN,Minnesota
04,57,,,2098,3672,155145,,
04,13,GA,Georgia,2084,3813,148510,GA,Georgia
04,51,VA,Virginia,1967,3540,159021,VA,Virginia
04,55,WI,Wisconsin,1916,3150,131914,WI,Wisconsin
04,29,MO,Missouri,1812,3266,122259,MO,Missouri
04,42,PA,Pennsylvania,1739,2831,130800,PA,Pennsylvania
04,16,ID,Idaho,1702,3143,120775,ID,Idaho
04,18,IN,Indiana,1531,2684,100224,IN,Indiana
04,40,OK,Oklahoma,1384,2670,79524,OK,Oklahoma
04,45,SC,South Carolina,1319,2396,112008,SC,South Carolina
04,19,IA,Iowa,1132,1895,76855,IA,Iowa
04,20,KS,Kansas,1036,1815,72739,KS,Kansas
04,25,MA,Massachusetts,1015,1426,77273,MA,Massachusetts
04,30,MT,Montana,964,1661,73576,MT,Montana
04,24,MD,Maryland,879,1461,69854,MD,Maryland
04,34,NJ,New Jersey,866,1324,74019,NJ,New Jersey
04,05,AR,Arkansas,859,1652,58589,AR,Arkansas
04,15,HI,Hawaii,825,1426,68580,HI,Hawaii
04,31,NE,Nebraska,799,1326,54455,NE,Nebraska
04,21,KY,Kentucky,794,1466,50274,KY,Kentucky
04,01,AL,Alabama,748,1416,51751,AL,Alabama
04,46,SD,South Dakota,636,1033,53126,SD,South Dakota
04,02,AK,Alaska,612,1032,42478,AK,Alaska
04,22,LA,Louisiana,549,950,34776,LA,Louisiana
04,38,ND,North Dakota,538,893,30356,ND,North Dakota
04,56,WY,Wyoming,494,886,36577,WY,Wyoming
04,09,CT,Connecticut,480,755,39138,CT,Connecticut
04,28,MS,Mississippi,392,708,22082,MS,Mississippi
04,23,ME,Maine,329,528,25078,ME,Maine
04,11,DC,District Of Columbia,277,316,19564,DC,District Of Columbia
04,33,NH,New Hampshire,273,390,19632,NH,New Hampshire
04,54,WV,West Virginia,202,336,11896,WV,West Virginia
04,10,DE,Delaware,176,290,16063,DE,Delaware
04,50,VT,Vermont,163,281,11968,VT,Vermont
04,44,RI,Rhode Island,153,223,9528,RI,Rhode Island
05,96,US+FO,Total Migration-US and Foreign,32121,57903,1905022,US+FO,Total Migration-US and Foreign
05,97,US,Total Migration-US,31728,57238,1882656,US,Total Migration-US
05,98,FO,Total Migration-Foreign,393,665,22367,FO,Total Migration-Foreign
05,97,US,Total Migration-US,45859,85196,2220972,US,Total Migration-US
05,05,AR,Arkansas,1036813,2178548,84247653,AR,Arkansas
05,48,TX,Texas,6498,11833,406707,TX,Texas
05,29,MO,Missouri,3143,5808,153147,MO,Missouri
05,40,OK,Oklahoma,2929,5580,137913,OK,Oklahoma
