y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI,y2_state,y2_state_name
01,96,US+FO,Total Migration-US and Foreign,47665,85968,3223014,US+FO,Total Migration-US and Foreign
01,97,US,Total Migration-US,47179,84874,3187972,US,Total Migration-US
01,98,FO,Total Migration-Foreign,486,1094,35042,FO,Total Migration-Foreign
01,97,US,Total Migration-US,63832,119588,3790741,US,Total Migration-US
01,01,AL,Alabama,1670844,3472380,134752668,AL,Alabama
01,13,GA,Georgia,8159,14709,482328,GA,Georgia
01,12,FL,Florida,7124,12769,601845,FL,Florida
01,47,TN,Tennessee,4344,7603,284335,TN,Tennessee
01,48,TX,Texas,4059,7414,270444,TX,Texas
01,28,MS,Mississippi,2542,4627,132309,MS,Mississippi
01,37,NC,North Carolina,1843,3333,132894,NC,North Carolina
01,06,CA,California,1579,2556,111415,CA,California
01,51,VA,Virginia,1343,2563,100501,VA,Virginia
01,08,CO,Colorado,1109,1912,96181,CO,Colorado
01,45,SC,South Carolina,1102,2022,84265,SC,South Carolina
01,22,LA,Louisiana,948,1721,69671,LA,Louisiana
01,39,OH,Ohio,915,1708,57198,OH,Ohio
01,17,IL,Illinois,902,1634,50106,IL,Illinois
01,21,KY,Kentucky,756,1475,47867,KY,Kentucky
01,26,MI,Michigan,754,1412,40253,MI,Michigan
01,36,NY,New York,751,1216,56849,NY,New York
01,18,IN,Indiana,685,1220,37170,IN,Indiana
01,53,WA,Washington,657,1092,42982,WA,Washington
01,04,AZ,Arizona,606,1121,42884,AZ,Arizona
01,29,MO,Missouri,584,1075,35140,MO,Missouri
01,42,PA,Pennsylvania,582,1019,33284,PA,Pennsylvania
01,24,MD,Maryland,533,890,34069,MD,Maryland
01,57,,,486,1094,35042,,
01,05,AR,Arkansas,471,896,29428,AR,Arkansas
01,40,OK,Oklahoma,362,731,20370,OK,Oklahoma
01,25,MA,Massachusetts,328,525,23046,MA,Massachusetts
01,20,KS,Kansas,316,644,17743,KS,Kansas
01,49,UT,Utah,283,552,21172,UT,Utah
01,55,WI,Wisconsin,278,506,17053,WI,Wisconsin
01,41,OR,Oregon,269,424,16391,OR,Oregon
01,34,NJ,New Jersey,269,460,19155,NJ,New Jersey
01,32,NV,Nevada,266,472,15226,NV,Nevada
01,27,MN,Minnesota,240,428,15023,MN,Minnesota
01,15,HI,Hawaii,227,509,16721,HI,Hawaii
01,35,NM,New Mexico,212,372,14994,NM,New Mexico
01,02,AK,Alaska,199,453,11162,AK,Alaska
01,19,IA,Iowa,185,325,9452,IA,Iowa
01,31,NE,Nebraska,159,307,10323,NE,Nebraska
01,11,DC,District Of Columbia,152,199,10062,DC,District Of Columbia
01,54,WV,West Virginia,142,265,12421,WV,West Virginia
01,30,MT,Montana,140,247,9026,MT,Montana
01,09,CT,Connecticut,138,208,7302,CT,Connecticut
01,16,ID,Idaho,118,248,8222,ID,Idaho
01,23,ME,Maine,88,162,4613,ME,Maine
01,38,ND,North Dakota,79,145,4755,ND,North Dakota
01,10,DE,Delaware,75,135,5275,DE,Delaware
01,33,NH,New Hampshire,75,146,5703,NH,New Hampshire
01,46,SD,South Dakota,74,136,4365,SD,South Dakota
01,56,WY,Wyoming,63,122,6025,WY,Wyoming
01,50,VT,Vermont,51,93,5690,VT,Vermont
01,44,RI,Rhode Island,43,73,3266,RI,Rhode Island
02,96,US+FO,Total Migration-US and Foreign,16834,32471,1281505,US+FO,Total Migration-US and Foreign
02,97,US,Total Migration-US,16482,31733,1256946,US,Total Migration-US
02,98,FO,Total Migration-Foreign,352,738,24559,FO,Total Migration-Foreign
02,97,US,Total Migration-US,6377,11742,438393,US,Total Migration-US
02,02,AK,Alaska,266296,535471,25519259,AK,Alaska
02,53,WA,Washington,1720,3041,129430,WA,Washington
02,48,TX,Texas,1469,3086,120741,TX,Texas
02,06,CA,California,1150,1972,72934,CA,California
02,04,AZ,Arizona,1013,1839,88176,AZ,Arizona
02,12,FL,Florida,982,1877,73283,FL,Florida
02,41,OR,Oregon,711,1214,59212,OR,Oregon
02,08,CO,Colorado,700,1289,52150,CO,Colorado
02,37,NC,North Carolina,528,1133,34800,NC,North Carolina
02,13,GA,Georgia,485,1043,30265,GA,Georgia
02,32,NV,Nevada,439,810,38471,NV,Nevada
02,16,ID,Idaho,424,775,35437,ID,Idaho
02,51,VA,Virginia,415,954,33502,VA,Virginia
02,47,TN,Tennessee,356,721,23900,TN,Tennessee
02,57,,,352,738,24559,,
02,49,UT,Utah,326,644,22873,UT,Utah
02,30,MT,Montana,311,564,25234,MT,Montana
02,15,HI,Hawaii,308,664,20427,HI,Hawaii
02,40,OK,Oklahoma,302,655,21357,OK,Oklahoma
02,27,MN,Minnesota,299,534,23551,MN,Minnesota
02,26,MI,Michigan,297,629,45811,MI,Michigan
02,29,MO,Missouri,278,591,18867,MO,Missouri
02,39,OH,Ohio,261,515,16343,OH,Ohio
02,45,SC,South Carolina,259,591,17782,SC,South Carolina
02,36,NY,New York,257,430,15305,NY,New York
02,17,IL,Illinois,245,440,16368,IL,Illinois
02,55,WI,Wisconsin,234,455,18097,WI,Wisconsin
02,01,AL,Alabama,233,518,17161,AL,Alabama
02,42,PA,Pennsylvania,228,413,14048,PA,Pennsylvania
02,35,NM,New Mexico,208,398,14115,NM,New Mexico
02,20,KS,Kansas,172,354,10744,KS,Kansas
02,18,IN,Indiana,152,274,9485,IN,Indiana
