y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,Total Migration-US and Foreign,96,01,AL,Alabama,51971,107304,2109108
US,Total Migration-US,97,01,AL,Alabama,50940,105006,2059642
FO,Total Migration-Foreign,98,01,AL,Alabama,1031,2298,49465
AL,AL Non-migrants,01,01,AL,Alabama,1584665,3603439,87222478
GA,Georgia,13,01,AL,Alabama,9920,19470,329213
FL,Florida,12,01,AL,Alabama,7550,14398,296043
TN,Tennessee,47,01,AL,Alabama,4237,9014,180439
TX,Texas,48,01,AL,Alabama,4121,8950,177351
MS,Mississippi,28,01,AL,Alabama,2868,6433,106796
CA,California,06,01,AL,Alabama,1902,3593,80336
NC,North Carolina,37,01,AL,Alabama,1881,4010,79090
LA,Louisiana,22,01,AL,Alabama,1514,3210,64656
VA,Virginia,51,01,AL,Alabama,1378,2990,74722
SC,South Carolina,45,01,AL,Alabama,1096,2538,61022
FR,Foreign,57,01,AL,Alabama,1031,2298,49465
IL,Illinois,17,01,AL,Alabama,979,2126,38224
MI,Michigan,26,01,AL,Alabama,976,1946,33224
OH,Ohio,39,01,AL,Alabama,955,1995,38206
NY,New York,36,01,AL,Alabama,924,1744,35229
KY,Kentucky,21,01,AL,Alabama,829,1891,36402
CO,Colorado,08,01,AL,Alabama,725,1489,37232
WA,Washington,53,01,AL,Alabama,718,1617,34658
IN,Indiana,18,01,AL,Alabama,707,1545,23747
MO,Missouri,29,01,AL,Alabama,629,1297,22810
PA,Pennsylvania,42,01,AL,Alabama,572,1150,26202
AZ,Arizona,04,01,AL,Alabama,548,1121,24245
MD,Maryland,24,01,AL,Alabama,531,1039,25979
AR,Arkansas,05,01,AL,Alabama,494,1123,22667
OK,Oklahoma,40,01,AL,Alabama,470,1083,19193
KS,Kansas,20,01,AL,Alabama,424,1029,17875
NV,Nevada,32,01,AL,Alabama,331,563,18510
MA,Massachusetts,25,01,AL,Alabama,328,595,13109
WI,Wisconsin,55,01,AL,Alabama,309,722,13449
NJ,New Jersey,34,01,AL,Alabama,286,575,11648
MN,Minnesota,27,01,AL,Alabama,214,430,8834
OR,Oregon,41,01,AL,Alabama,213,431,8961
HI,Hawaii,15,01,AL,Alabama,212,485,10166
IA,Iowa,19,01,AL,Alabama,212,475,8642
