y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,Total Migration-US and Foreign,96,01,AL,Alabama,50379,103386,2294467
US,Total Migration-US,97,01,AL,Alabama,49516,101455,2247089
FO,Total Migration-Foreign,98,01,AL,Alabama,863,1931,47378
AL,AL Non-migrants,01,01,AL,Alabama,1581562,3585285,92260065
GA,Georgia,13,01,AL,Alabama,9517,19081,348015
FL,Florida,12,01,AL,Alabama,7254,14422,424170
TX,Texas,48,01,AL,Alabama,4536,9719,220678
TN,Tennessee,47,01,AL,Alabama,4140,8499,201352
MS,Mississippi,28,01,AL,Alabama,2648,5824,110302
NC,North Carolina,37,01,AL,Alabama,1815,3752,93529
CA,California,06,01,AL,Alabama,1784,3413,88250
LA,Louisiana,22,01,AL,Alabama,1508,3096,68978
VA,Virginia,51,01,AL,Alabama,1320,2842,74171
SC,South Carolina,45,01,AL,Alabama,1033,2281,51453
OH,Ohio,39,01,AL,Alabama,951,1967,38645
NY,New York,36,01,AL,Alabama,945,1693,37153
CO,Colorado,08,01,AL,Alabama,893,1941,44489
FR,Foreign,57,01,AL,Alabama,863,1931,47378
MI,Michigan,26,01,AL,Alabama,837,1694,31622
IL,Illinois,17,01,AL,Alabama,802,1510,32717
KY,Kentucky,21,01,AL,Alabama,740,1655,34880
MO,Missouri,29,01,AL,Alabama,648,1260,29645
IN,Indiana,18,01,AL,Alabama,645,1405,25874
WA,Washington,53,01,AL,Alabama,624,1317,28086
PA,Pennsylvania,42,01,AL,Alabama,569,1171,33248
MD,Maryland,24,01,AL,Alabama,544,1072,28436
AZ,Arizona,04,01,AL,Alabama,544,1038,24597
OK,Oklahoma,40,01,AL,Alabama,486,1041,19577
AR,Arkansas,05,01,AL,Alabama,462,1001,18714
KS,Kansas,20,01,AL,Alabama,407,933,19688
NJ,New Jersey,34,01,AL,Alabama,285,549,14521
WI,Wisconsin,55,01,AL,Alabama,276,574,11117
HI,Hawaii,15,01,AL,Alabama,276,623,13263
NV,Nevada,32,01,AL,Alabama,273,559,15748
MA,Massachusetts,25,01,AL,Alabama,262,466,11888
MN,Minnesota,27,01,AL,Alabama,241,483,9752
AK,Alaska,02,01,AL,Alabama,211,475,8718
IA,Iowa,19,01,AL,Alabama,201,441,7642
NM,New Mexico,35,01,AL,Alabama,190,429,8136
OR,Oregon,41,01,AL,Alabama,182,337,9272
UT,Utah,49,01,AL,Alabama,157,337,10242
CT,Connecticut,09,01,AL,Alabama,146,277,6562
WV,West Virginia,54,01,AL,Alabama,142,323,7245
NE,Nebraska,31,01,AL,Alabama,138,300,5480
DC,District of Columbia,11,01,AL,Alabama,129,185,5724
MT,Montana,30,01,AL,Alabama,109,210,4948
WY,Wyoming,56,01,AL,Alabama,105,190,4078
ID,Idaho,16,01,AL,Alabama,89,212,4270
ND,North Dakota,38,01,AL,Alabama,79,147,3112
NH,New Hampshire,33,01,AL,Alabama,78,127,2945
SD,South Dakota,46,01,AL,Alabama,77,155,-55629
ME,Maine,23,01,AL,Alabama,75,154,3392
DE,Delaware,10,01,AL,Alabama,61,123,3174
RI,Rhode Island,44,01,AL,Alabama,49,97,1912
VT,Vermont,50,01,AL,Alabama,33,55,1309
US+FO,Total Migration-US and Foreign,96,02,AK,Alaska,20763,42818,1201231
US,Total Migration-US,97,02,AK,Alaska,20215,41611,1169990
FO,Total Migration-Foreign,98,02,AK,Alaska,548,1207,31241
AK,AK Non-migrants,02,02,AK,Alaska,257450,544630,19685230
WA,Washington,53,02,AK,Alaska,2234,4329,133319
TX,Texas,48,02,AK,Alaska,1829,4052,155071
CA,California,06,02,AK,Alaska,1724,3209,102962
FL,Florida,12,02,AK,Alaska,1361,2584,68997
OR,Oregon,41,02,AK,Alaska,1115,2142,65774
AZ,Arizona,04,02,AK,Alaska,927,1760,58642
CO,Colorado,08,02,AK,Alaska,779,1613,46764
GA,Georgia,13,02,AK,Alaska,570,1245,24168
NV,Nevada,32,02,AK,Alaska,558,1114,37814
FR,Foreign,57,02,AK,Alaska,548,1207,31241
ID,Idaho,16,02,AK,Alaska,548,1271,38432
NC,North Carolina,37,02,AK,Alaska,540,1261,24106
VA,Virginia,51,02,AK,Alaska,471,1120,25888
HI,Hawaii,15,02,AK,Alaska,470,1026,24976
MT,Montana,30,02,AK,Alaska,401,754,22883
NY,New York,36,02,AK,Alaska,383,729,15022
MN,Minnesota,27,02,AK,Alaska,368,701,19397
MI,Michigan,26,02,AK,Alaska,363,713,21257
TN,Tennessee,47,02,AK,Alaska,346,838,20088
UT,Utah,49,02,AK,Alaska,343,791,16063
MO,Missouri,29,02,AK,Alaska,320,711,15218
OH,Ohio,39,02,AK,Alaska,279,556,13618
OK,Oklahoma,40,02,AK,Alaska,277,652,15726
IL,Illinois,17,02,AK,Alaska,259,536,13402
WI,Wisconsin,55,02,AK,Alaska,255,500,12184
NM,New Mexico,35,02,AK,Alaska,255,501,13604
AL,Alabama,01,02,AK,Alaska,247,599,12641
PA,Pennsylvania,42,02,AK,Alaska,246,487,11166
SC,South Carolina,45,02,AK,Alaska,243,577,11667
KS,Kansas,20,02,AK,Alaska,198,479,8279
LA,Louisiana,22,02,AK,Alaska,195,443,10643
MD,Maryland,24,02,AK,Alaska,191,379,9700
WY,Wyoming,56,02,AK,Alaska,170,330,9979
ND,North Dakota,38,02,AK,Alaska,169,316,10171
KY,Kentucky,21,02,AK,Alaska,167,414,7591
MA,Massachusetts,25,02,AK,Alaska,156,272,8192
AR,Arkansas,05,02,AK,Alaska,153,317,6907
IN,Indiana,18,02,AK,Alaska,141,282,6571
NJ,New Jersey,34,02,AK,Alaska,124,272,5510
SD,South Dakota,46,02,AK,Alaska,117,268,6924
MS,Mississippi,28,02,AK,Alaska,116,236,5925
IA,Iowa,19,02,AK,Alaska,104,233,5488
NE,Nebraska,31,02,AK,Alaska,101,217,5280
ME,Maine,23,02,AK,Alaska,81,162,4551
CT,Connecticut,09,02,AK,Alaska,69,127,3800
NH,New Hampshire,33,02,AK,Alaska,68,141,3571
WV,West Virginia,54,02,AK,Alaska,52,105,3240
VT,Vermont,50,02,AK,Alaska,48,92,2622
DC,District of Columbia,11,02,AK,Alaska,31,45,1951
DE,Delaware,10,02,AK,Alaska,29,69,1248
RI,Rhode Island,44,02,AK,Alaska,24,41,1002
US+FO,Total Migration-US and Foreign,96,04,AZ,Arizona,94533,185497,4888555
US,Total Migration-US,97,04,AZ,Arizona,91904,179924,4745087
FO,Total Migration-Foreign,98,04,AZ,Arizona,2629,5573,143468
AZ,AZ Non-migrants,04,04,AZ,Arizona,2137465,4848674,132371320
CA,California,06,04,AZ,Arizona,17967,34959,876275
TX,Texas,48,04,AZ,Arizona,8427,17835,439859
CO,Colorado,08,04,AZ,Arizona,5049,9682,274469
WA,Washington,53,04,AZ,Arizona,4736,9007,250244
FL,Florida,12,04,AZ,Arizona,4317,7652,213786
NV,Nevada,32,04,AZ,Arizona,3475,7005,163333
NM,New Mexico,35,04,AZ,Arizona,3321,7622,124365
IL,Illinois,17,04,AZ,Arizona,2963,5151,150548
OR,Oregon,41,04,AZ,Arizona,2936,5481,149927
FR,Foreign,57,04,AZ,Arizona,2629,5573,143468
UT,Utah,49,04,AZ,Arizona,2388,5785,115838
MI,Michigan,26,04,AZ,Arizona,2239,4120,104045
NY,New York,36,04,AZ,Arizona,2208,3683,116659
OH,Ohio,39,04,AZ,Arizona,1918,3658,102269
NC,North Carolina,37,04,AZ,Arizona,1781,3728,99101
GA,Georgia,13,04,AZ,Arizona,1706,3516,83437
MN,Minnesota,27,04,AZ,Arizona,1702,2987,113532
VA,Virginia,51,04,AZ,Arizona,1622,3379,100706
PA,Pennsylvania,42,04,AZ,Arizona,1531,2730,81776
MO,Missouri,29,04,AZ,Arizona,1426,2755,69671
WI,Wisconsin,55,04,AZ,Arizona,1413,2504,76207
ID,Idaho,16,04,AZ,Arizona,1228,2776,57326
IN,Indiana,18,04,AZ,Arizona,1193,2320,56657
TN,Tennessee,47,04,AZ,Arizona,1156,2325,61765
OK,Oklahoma,40,04,AZ,Arizona,1101,2354,45841
IA,Iowa,19,04,AZ,Arizona,982,1871,53406
