y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,AL Total Migration-US and Foreign,96,01,AL,Alabama,45058,89699,2821594
US,Total Migration-US,97,01,AL,Alabama,44502,88386,2786158
FO,Total Migration-Foreign,98,01,AL,Alabama,556,1313,35436
US,AL Total Migration-Same State,97,01,AL,Alabama,63266,129762,3419262
AL,AL Non-migrants,01,01,AL,Alabama,1590633,3498183,111701780
GA,Georgia,13,01,AL,Alabama,7830,15636,433366
FL,Florida,12,01,AL,Alabama,6902,13551,517167
TN,Tennessee,47,01,AL,Alabama,4109,7842,293025
TX,Texas,48,01,AL,Alabama,3803,7814,254186
MS,Mississippi,28,01,AL,Alabama,2431,4933,117760
NC,North Carolina,37,01,AL,Alabama,1747,3447,118007
CA,California,06,01,AL,Alabama,1502,2743,86102
VA,Virginia,51,01,AL,Alabama,1278,2657,97916
CO,Colorado,08,01,AL,Alabama,1026,1935,62243
LA,Louisiana,22,01,AL,Alabama,1014,2006,60780
SC,South Carolina,45,01,AL,Alabama,985,1939,63819
OH,Ohio,39,01,AL,Alabama,833,1702,44947
NY,New York,36,01,AL,Alabama,736,1351,35467
MI,Michigan,26,01,AL,Alabama,729,1531,33641
KY,Kentucky,21,01,AL,Alabama,700,1534,43977
IL,Illinois,17,01,AL,Alabama,699,1398,38453
IN,Indiana,18,01,AL,Alabama,626,1221,29529
WA,Washington,53,01,AL,Alabama,577,1121,34271
FR,Foreign,57,01,AL,Alabama,556,1313,35436
AZ,Arizona,04,01,AL,Alabama,547,1028,32256
PA,Pennsylvania,42,01,AL,Alabama,534,1046,30731
MO,Missouri,29,01,AL,Alabama,522,1134,31900
MD,Maryland,24,01,AL,Alabama,433,840,28684
AR,Arkansas,05,01,AL,Alabama,416,871,26146
OK,Oklahoma,40,01,AL,Alabama,397,841,22058
KS,Kansas,20,01,AL,Alabama,346,762,19276
NJ,New Jersey,34,01,AL,Alabama,274,520,16027
NV,Nevada,32,01,AL,Alabama,269,492,16263
OR,Oregon,41,01,AL,Alabama,260,465,13155
WI,Wisconsin,55,01,AL,Alabama,257,550,13460
MA,Massachusetts,25,01,AL,Alabama,249,421,15646
HI,Hawaii,15,01,AL,Alabama,247,576,14584
UT,Utah,49,01,AL,Alabama,233,577,17720
AK,Alaska,02,01,AL,Alabama,218,489,13608
MN,Minnesota,27,01,AL,Alabama,218,416,13185
NM,New Mexico,35,01,AL,Alabama,182,345,11350
IA,Iowa,19,01,AL,Alabama,175,375,10248
WV,West Virginia,54,01,AL,Alabama,145,301,8273
CT,Connecticut,09,01,AL,Alabama,142,265,8208
NE,Nebraska,31,01,AL,Alabama,119,230,6946
DC,District of Columbia,11,01,AL,Alabama,115,168,8651
ID,Idaho,16,01,AL,Alabama,100,190,6976
MT,Montana,30,01,AL,Alabama,94,198,6215
ME,Maine,23,01,AL,Alabama,83,147,4837
WY,Wyoming,56,01,AL,Alabama,82,173,5647
ND,North Dakota,38,01,AL,Alabama,70,149,3584
NH,New Hampshire,33,01,AL,Alabama,66,118,4659
DE,Delaware,10,01,AL,Alabama,65,114,3107
SD,South Dakota,46,01,AL,Alabama,53,102,3588
RI,Rhode Island,44,01,AL,Alabama,37,61,1641
VT,Vermont,50,01,AL,Alabama,27,61,2871
US+FO,AK Total Migration-US and Foreign,96,02,AK,Alaska,17087,35388,1139389
