y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,Total Migration-US and Foreign,96,00,,,3134167,5834133,150297046
US,Total Migration-US,97,00,,,3026084,5635916,145006738
FO,Total Migration-Foreign,98,00,,,108083,198217,5290308
US+FO,Total Migration-US and Foreign,96,01,AL,Alabama,41982,84662,1742700
US,Total Migration-US,97,01,AL,Alabama,40932,82513,1700772
FO,Total Migration-Foreign,98,01,AL,Alabama,1050,2149,41928
AL,AL Non-migrants,01,01,AL,Alabama,1632467,3629748,83764352
GA,Georgia,13,01,AL,Alabama,7374,14989,271567
FL,Florida,12,01,AL,Alabama,5560,10443,268328
TN,Tennessee,47,01,AL,Alabama,3386,6711,134179
TX,Texas,48,01,AL,Alabama,3263,7000,151837
MS,Mississippi,28,01,AL,Alabama,2624,5419,89665
NC,North Carolina,37,01,AL,Alabama,1655,3401,69645
CA,California,06,01,AL,Alabama,1365,2517,52852
LA,Louisiana,22,01,AL,Alabama,1354,2739,51669
VA,Virginia,51,01,AL,Alabama,1304,2791,68435
FR,Foreign,57,01,AL,Alabama,1050,2149,41928
SC,South Carolina,45,01,AL,Alabama,908,1867,45983
NY,New York,36,01,AL,Alabama,839,1494,25730
OH,Ohio,39,01,AL,Alabama,820,1731,30251
IL,Illinois,17,01,AL,Alabama,803,1518,29757
KY,Kentucky,21,01,AL,Alabama,697,1479,27566
MI,Michigan,26,01,AL,Alabama,649,1311,22107
CO,Colorado,08,01,AL,Alabama,615,1223,26601
MO,Missouri,29,01,AL,Alabama,612,1238,24578
WA,Washington,53,01,AL,Alabama,533,1124,23782
IN,Indiana,18,01,AL,Alabama,504,1063,19527
AR,Arkansas,05,01,AL,Alabama,499,1098,21415
PA,Pennsylvania,42,01,AL,Alabama,498,1002,22621
AZ,Arizona,04,01,AL,Alabama,490,990,23156
MD,Maryland,24,01,AL,Alabama,438,839,21873
OK,Oklahoma,40,01,AL,Alabama,397,827,15431
KS,Kansas,20,01,AL,Alabama,379,865,15589
HI,Hawaii,15,01,AL,Alabama,307,754,13181
NJ,New Jersey,34,01,AL,Alabama,260,487,11724
WI,Wisconsin,55,01,AL,Alabama,259,500,10328
MA,Massachusetts,25,01,AL,Alabama,247,433,9673
NV,Nevada,32,01,AL,Alabama,203,372,7159
NM,New Mexico,35,01,AL,Alabama,183,402,8908
MN,Minnesota,27,01,AL,Alabama,181,379,8960
AK,Alaska,02,01,AL,Alabama,177,423,7571
WV,West Virginia,54,01,AL,Alabama,154,341,7067
OR,Oregon,41,01,AL,Alabama,151,281,6587
UT,Utah,49,01,AL,Alabama,139,322,6479
NE,Nebraska,31,01,AL,Alabama,137,297,7676
CT,Connecticut,09,01,AL,Alabama,136,242,6307
IA,Iowa,19,01,AL,Alabama,131,294,5983
DC,District of Columbia,11,01,AL,Alabama,122,169,4915
ID,Idaho,16,01,AL,Alabama,85,190,3234
WY,Wyoming,56,01,AL,Alabama,78,151,2879
ME,Maine,23,01,AL,Alabama,71,120,3169
MT,Montana,30,01,AL,Alabama,68,130,2147
NH,New Hampshire,33,01,AL,Alabama,66,131,5039
SD,South Dakota,46,01,AL,Alabama,55,121,2251
ND,North Dakota,38,01,AL,Alabama,47,98,1501
DE,Delaware,10,01,AL,Alabama,46,84,2051
RI,Rhode Island,44,01,AL,Alabama,40,75,1176
VT,Vermont,50,01,AL,Alabama,23,38,663
US+FO,Total Migration-US and Foreign,96,02,AK,Alaska,15971,31971,749420
US,Total Migration-US,97,02,AK,Alaska,15284,30629,721085
FO,Total Migration-Foreign,98,02,AK,Alaska,687,1342,28336
AK,AK Non-migrants,02,02,AK,Alaska,245092,515097,16363432
WA,Washington,53,02,AK,Alaska,1874,3478,97136
CA,California,06,02,AK,Alaska,1371,2468,57186
TX,Texas,48,02,AK,Alaska,1260,2727,69558
OR,Oregon,41,02,AK,Alaska,915,1577,42806
FR,Foreign,57,02,AK,Alaska,687,1342,28336
AZ,Arizona,04,02,AK,Alaska,630,1187,29403
FL,Florida,12,02,AK,Alaska,625,1250,27795
CO,Colorado,08,02,AK,Alaska,569,1080,30415
NC,North Carolina,37,02,AK,Alaska,480,1086,20199
GA,Georgia,13,02,AK,Alaska,453,1010,19117
VA,Virginia,51,02,AK,Alaska,445,1056,24607
ID,Idaho,16,02,AK,Alaska,362,745,17510
NV,Nevada,32,02,AK,Alaska,361,708,19954
MT,Montana,30,02,AK,Alaska,341,665,16964
HI,Hawaii,15,02,AK,Alaska,309,663,12960
NY,New York,36,02,AK,Alaska,296,554,9876
OK,Oklahoma,40,02,AK,Alaska,267,603,13481
MI,Michigan,26,02,AK,Alaska,261,505,12726
IL,Illinois,17,02,AK,Alaska,241,466,9645
MO,Missouri,29,02,AK,Alaska,241,555,9407
OH,Ohio,39,02,AK,Alaska,241,455,10516
UT,Utah,49,02,AK,Alaska,239,545,11285
MN,Minnesota,27,02,AK,Alaska,232,431,9771
TN,Tennessee,47,02,AK,Alaska,223,492,11407
PA,Pennsylvania,42,02,AK,Alaska,220,410,8803
AL,Alabama,01,02,AK,Alaska,218,542,10688
NM,New Mexico,35,02,AK,Alaska,205,421,10090
WI,Wisconsin,55,02,AK,Alaska,191,351,8423
LA,Louisiana,22,02,AK,Alaska,189,418,8136
MD,Maryland,24,02,AK,Alaska,166,356,8129
KS,Kansas,20,02,AK,Alaska,158,368,7112
KY,Kentucky,21,02,AK,Alaska,153,320,6521
SC,South Carolina,45,02,AK,Alaska,149,350,6644
WY,Wyoming,56,02,AK,Alaska,143,278,7118
AR,Arkansas,05,02,AK,Alaska,140,303,5868
IN,Indiana,18,02,AK,Alaska,134,277,4749
MA,Massachusetts,25,02,AK,Alaska,112,191,5039
SD,South Dakota,46,02,AK,Alaska,105,212,4814
IA,Iowa,19,02,AK,Alaska,97,212,4258
NJ,New Jersey,34,02,AK,Alaska,89,196,3685
NE,Nebraska,31,02,AK,Alaska,84,176,4188
MS,Mississippi,28,02,AK,Alaska,83,177,3552
ME,Maine,23,02,AK,Alaska,82,140,4329
ND,North Dakota,38,02,AK,Alaska,73,175,3515
DC,District of Columbia,11,02,AK,Alaska,49,65,2807
CT,Connecticut,09,02,AK,Alaska,45,72,1469
WV,West Virginia,54,02,AK,Alaska,44,78,1176
VT,Vermont,50,02,AK,Alaska,42,80,2282
NH,New Hampshire,33,02,AK,Alaska,38,71,1865
RI,Rhode Island,44,02,AK,Alaska,20,48,1336
DE,Delaware,10,02,AK,Alaska,19,36,764
US+FO,Total Migration-US and Foreign,96,04,AZ,Arizona,85291,168256,3644916
US,Total Migration-US,97,04,AZ,Arizona,83300,164407,3564217
FO,Total Migration-Foreign,98,04,AZ,Arizona,1991,3849,80699
AZ,AZ Non-migrants,04,04,AZ,Arizona,2080423,4657503,114766996
CA,California,06,04,AZ,Arizona,16252,31503,673561
TX,Texas,48,04,AZ,Arizona,7744,16933,349336
CO,Colorado,08,04,AZ,Arizona,4668,9256,203921
WA,Washington,53,04,AZ,Arizona,4183,7992,181855
NM,New Mexico,35,04,AZ,Arizona,4094,9528,139408
NV,Nevada,32,04,AZ,Arizona,3316,6741,137256
IL,Illinois,17,04,AZ,Arizona,2753,4846,117634
FL,Florida,12,04,AZ,Arizona,2744,4896,119776
UT,Utah,49,04,AZ,Arizona,2501,6190,97480
OR,Oregon,41,04,AZ,Arizona,2461,4415,97601
NY,New York,36,04,AZ,Arizona,2078,3445,88514
FR,Foreign,57,04,AZ,Arizona,1991,3849,80699
MI,Michigan,26,04,AZ,Arizona,1685,2976,59416
NC,North Carolina,37,04,AZ,Arizona,1676,3406,73962
OH,Ohio,39,04,AZ,Arizona,1613,2964,66685
VA,Virginia,51,04,AZ,Arizona,1528,2976,89238
MN,Minnesota,27,04,AZ,Arizona,1412,2530,71887
GA,Georgia,13,04,AZ,Arizona,1396,2929,69921
PA,Pennsylvania,42,04,AZ,Arizona,1371,2468,65918
MO,Missouri,29,04,AZ,Arizona,1350,2552,53482
WI,Wisconsin,55,04,AZ,Arizona,1311,2411,55463
OK,Oklahoma,40,04,AZ,Arizona,1137,2438,38961
IN,Indiana,18,04,AZ,Arizona,1134,2145,48087
ID,Idaho,16,04,AZ,Arizona,1010,2242,38124
KS,Kansas,20,04,AZ,Arizona,992,2109,40534
TN,Tennessee,47,04,AZ,Arizona,971,1963,41126
IA,Iowa,19,04,AZ,Arizona,919,1735,35152
MA,Massachusetts,25,04,AZ,Arizona,872,1352,40301
MD,Maryland,24,04,AZ,Arizona,773,1417,41085
NE,Nebraska,31,04,AZ,Arizona,761,1554,30928
HI,Hawaii,15,04,AZ,Arizona,717,1417,32091
NJ,New Jersey,34,04,AZ,Arizona,714,1242,42989
MT,Montana,30,04,AZ,Arizona,651,1226,26428
AR,Arkansas,05,04,AZ,Arizona,626,1276,22620
AK,Alaska,02,04,AZ,Arizona,589,1175,26472
SC,South Carolina,45,04,AZ,Arizona,585,1141,28183
KY,Kentucky,21,04,AZ,Arizona,573,1157,22421
WY,Wyoming,56,04,AZ,Arizona,535,1098,28288
LA,Louisiana,22,04,AZ,Arizona,528,1020,18920
AL,Alabama,01,04,AZ,Arizona,496,1089,24243
SD,South Dakota,46,04,AZ,Arizona,447,860,19124
CT,Connecticut,09,04,AZ,Arizona,392,672,21672
MS,Mississippi,28,04,AZ,Arizona,301,613,10740
ND,North Dakota,38,04,AZ,Arizona,292,547,11501
NH,New Hampshire,33,04,AZ,Arizona,226,405,8935
ME,Maine,23,04,AZ,Arizona,208,371,13588
DC,District of Columbia,11,04,AZ,Arizona,184,233,11483
WV,West Virginia,54,04,AZ,Arizona,163,305,5779
DE,Delaware,10,04,AZ,Arizona,130,230,6811
RI,Rhode Island,44,04,AZ,Arizona,119,218,10048
VT,Vermont,50,04,AZ,Arizona,119,200,5269
US+FO,Total Migration-US and Foreign,96,05,AR,Arkansas,28897,58510,1111141
US,Total Migration-US,97,05,AR,Arkansas,28359,57493,1093110
FO,Total Migration-Foreign,98,05,AR,Arkansas,538,1017,18031
AR,AR Non-migrants,05,05,AR,Arkansas,968501,2145868,45562945
TX,Texas,48,05,AR,Arkansas,5878,12223,244915
OK,Oklahoma,40,05,AR,Arkansas,2866,6202,88598
MO,Missouri,29,05,AR,Arkansas,2596,5259,79357
TN,Tennessee,47,05,AR,Arkansas,1730,3299,60476
CA,California,06,05,AR,Arkansas,1377,2760,46754
LA,Louisiana,22,05,AR,Arkansas,1355,2852,48276
FL,Florida,12,05,AR,Arkansas,1295,2471,50881
MS,Mississippi,28,05,AR,Arkansas,890,1864,30526
IL,Illinois,17,05,AR,Arkansas,815,1559,29899
GA,Georgia,13,05,AR,Arkansas,701,1444,28634
KS,Kansas,20,05,AR,Arkansas,640,1344,23352
CO,Colorado,08,05,AR,Arkansas,564,1042,23045
NC,North Carolina,37,05,AR,Arkansas,547,1143,23830
FR,Foreign,57,05,AR,Arkansas,538,1017,18031
AZ,Arizona,04,05,AR,Arkansas,528,1005,18884
AL,Alabama,01,05,AR,Arkansas,458,970,20048
VA,Virginia,51,05,AR,Arkansas,410,810,18551
NY,New York,36,05,AR,Arkansas,398,679,16846
IN,Indiana,18,05,AR,Arkansas,381,778,14507
MI,Michigan,26,05,AR,Arkansas,366,721,13209
OH,Ohio,39,05,AR,Arkansas,365,763,21019
WA,Washington,53,05,AR,Arkansas,352,680,13407
IA,Iowa,19,05,AR,Arkansas,289,580,10797
