y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,Total Migration-US and Foreign,96,00,,,3075076,5706100,146817090
US,Total Migration-US,97,00,,,2973726,5514902,141491300
FO,Total Migration-Foreign,98,00,,,101350,191198,5325790
US+FO,Total Migration-US and Foreign,96,01,AL,Alabama,44602,90322,1832368
US,Total Migration-US,97,01,AL,Alabama,43563,88001,1787617
FO,Total Migration-Foreign,98,01,AL,Alabama,1039,2321,44751
AL,AL Non-migrants,01,01,AL,Alabama,1591968,3593492,80792924
GA,Georgia,13,01,AL,Alabama,8309,16164,278141
FL,Florida,12,01,AL,Alabama,6569,12064,247705
TN,Tennessee,47,01,AL,Alabama,3572,7073,148378
TX,Texas,48,01,AL,Alabama,3438,7745,157219
MS,Mississippi,28,01,AL,Alabama,2492,5292,93731
NC,North Carolina,37,01,AL,Alabama,1671,3557,73360
CA,California,06,01,AL,Alabama,1427,2654,57938
VA,Virginia,51,01,AL,Alabama,1355,3028,72899
LA,Louisiana,22,01,AL,Alabama,1292,2614,54471
FR,Foreign,57,01,AL,Alabama,1039,2321,44751
SC,South Carolina,45,01,AL,Alabama,938,1956,45683
NY,New York,36,01,AL,Alabama,889,1720,30771
OH,Ohio,39,01,AL,Alabama,843,1746,33094
MI,Michigan,26,01,AL,Alabama,833,1701,28560
IL,Illinois,17,01,AL,Alabama,767,1501,32344
KY,Kentucky,21,01,AL,Alabama,742,1640,31331
CO,Colorado,08,01,AL,Alabama,703,1509,33763
IN,Indiana,18,01,AL,Alabama,583,1169,21910
WA,Washington,53,01,AL,Alabama,555,1184,24098
MO,Missouri,29,01,AL,Alabama,537,1131,24490
PA,Pennsylvania,42,01,AL,Alabama,493,979,23050
MD,Maryland,24,01,AL,Alabama,461,885,21603
AR,Arkansas,05,01,AL,Alabama,455,972,18039
AZ,Arizona,04,01,AL,Alabama,454,921,18241
OK,Oklahoma,40,01,AL,Alabama,414,882,15871
KS,Kansas,20,01,AL,Alabama,327,766,14172
NJ,New Jersey,34,01,AL,Alabama,281,558,11521
HI,Hawaii,15,01,AL,Alabama,277,674,11902
AK,Alaska,02,01,AL,Alabama,249,620,11909
MA,Massachusetts,25,01,AL,Alabama,243,433,12300
WI,Wisconsin,55,01,AL,Alabama,241,481,9846
NV,Nevada,32,01,AL,Alabama,214,418,9517
NM,New Mexico,35,01,AL,Alabama,179,397,9178
MN,Minnesota,27,01,AL,Alabama,165,365,7736
IA,Iowa,19,01,AL,Alabama,163,326,6954
UT,Utah,49,01,AL,Alabama,157,392,7089
OR,Oregon,41,01,AL,Alabama,137,267,4335
NE,Nebraska,31,01,AL,Alabama,134,315,7112
CT,Connecticut,09,01,AL,Alabama,127,231,6970
WV,West Virginia,54,01,AL,Alabama,121,253,4632
DC,District of Columbia,11,01,AL,Alabama,113,152,5793
WY,Wyoming,56,01,AL,Alabama,97,185,37888
MT,Montana,30,01,AL,Alabama,93,194,3677
ME,Maine,23,01,AL,Alabama,82,163,3431
ID,Idaho,16,01,AL,Alabama,76,167,3127
SD,South Dakota,46,01,AL,Alabama,73,121,3049
NH,New Hampshire,33,01,AL,Alabama,63,100,1979
ND,North Dakota,38,01,AL,Alabama,56,126,2649
DE,Delaware,10,01,AL,Alabama,45,97,1834
VT,Vermont,50,01,AL,Alabama,34,73,1479
RI,Rhode Island,44,01,AL,Alabama,24,40,847
US+FO,Total Migration-US and Foreign,96,02,AK,Alaska,16570,33865,769271
US,Total Migration-US,97,02,AK,Alaska,16007,32656,740963
FO,Total Migration-Foreign,98,02,AK,Alaska,563,1209,28308
AK,AK Non-migrants,02,02,AK,Alaska,251110,528988,16544184
WA,Washington,53,02,AK,Alaska,1835,3386,80624
