y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,AL Total Migration-US and Foreign,96,01,AL,Alabama,35681,69378,1597829
US,Total Migration-US,97,01,AL,Alabama,34967,67911,1561677
FO,Total Migration-Foreign,98,01,AL,Alabama,714,1467,36152
US,AL Total Migration-Same State,97,01,AL,Alabama,46630,95832,1871804
AL,AL Non-migrants,01,01,AL,Alabama,1598458,3579600,96406319
GA,Georgia,13,01,AL,Alabama,6655,13258,254092
FL,Florida,12,01,AL,Alabama,5329,10204,303897
TX,Texas,48,01,AL,Alabama,3674,7397,154428
TN,Tennessee,47,01,AL,Alabama,3116,5881,139622
MS,Mississippi,28,01,AL,Alabama,2022,4275,83165
CA,California,06,01,AL,Alabama,1232,2198,59586
NC,North Carolina,37,01,AL,Alabama,1214,2296,56031
LA,Louisiana,22,01,AL,Alabama,1037,1956,49626
VA,Virginia,51,01,AL,Alabama,828,1610,46498
FR,Foreign,57,01,AL,Alabama,714,1467,36152
SC,South Carolina,45,01,AL,Alabama,669,1313,14230
CO,Colorado,08,01,AL,Alabama,628,1130,28097
NY,New York,36,01,AL,Alabama,609,1057,24306
OH,Ohio,39,01,AL,Alabama,593,1179,23837
IL,Illinois,17,01,AL,Alabama,561,1045,25851
MI,Michigan,26,01,AL,Alabama,559,1110,19223
KY,Kentucky,21,01,AL,Alabama,523,1098,21678
WA,Washington,53,01,AL,Alabama,413,747,18448
IN,Indiana,18,01,AL,Alabama,412,819,19452
MO,Missouri,29,01,AL,Alabama,394,716,18372
MD,Maryland,24,01,AL,Alabama,386,691,17660
PA,Pennsylvania,42,01,AL,Alabama,362,722,17173
AZ,Arizona,04,01,AL,Alabama,341,643,16174
OK,Oklahoma,40,01,AL,Alabama,335,675,15080
AR,Arkansas,05,01,AL,Alabama,298,625,13851
KS,Kansas,20,01,AL,Alabama,247,511,9981
NJ,New Jersey,34,01,AL,Alabama,184,323,7510
MA,Massachusetts,25,01,AL,Alabama,182,281,7327
HI,Hawaii,15,01,AL,Alabama,175,345,7418
NV,Nevada,32,01,AL,Alabama,167,327,7062
WI,Wisconsin,55,01,AL,Alabama,154,264,2900
MN,Minnesota,27,01,AL,Alabama,142,286,6733
OR,Oregon,41,01,AL,Alabama,138,260,5595
IA,Iowa,19,01,AL,Alabama,130,239,5270
AK,Alaska,02,01,AL,Alabama,128,278,6138
NM,New Mexico,35,01,AL,Alabama,122,232,6285
UT,Utah,49,01,AL,Alabama,120,249,5234
NE,Nebraska,31,01,AL,Alabama,107,225,4780
CT,Connecticut,09,01,AL,Alabama,105,206,5588
WV,West Virginia,54,01,AL,Alabama,92,193,3784
ND,North Dakota,38,01,AL,Alabama,88,171,4348
DC,District of Columbia,11,01,AL,Alabama,83,111,4147
WY,Wyoming,56,01,AL,Alabama,61,112,2975
ME,Maine,23,01,AL,Alabama,52,90,3142
MT,Montana,30,01,AL,Alabama,50,86,2166
ID,Idaho,16,01,AL,Alabama,49,95,2383
NH,New Hampshire,33,01,AL,Alabama,47,80,2646
RI,Rhode Island,44,01,AL,Alabama,46,100,2242
DE,Delaware,10,01,AL,Alabama,42,82,3067
SD,South Dakota,46,01,AL,Alabama,41,82,1558
VT,Vermont,50,01,AL,Alabama,25,38,1023
US+FO,AK Total Migration-US and Foreign,96,02,AK,Alaska,13405,25022,701834
US,Total Migration-US,97,02,AK,Alaska,12950,24148,678765
FO,Total Migration-Foreign,98,02,AK,Alaska,455,874,23069
US,AK Total Migration-Same State,97,02,AK,Alaska,5788,10559,313287
AK,AK Non-migrants,02,02,AK,Alaska,265963,558608,21208409
WA,Washington,53,02,AK,Alaska,1712,3037,92567
