y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,Total Migration-US and Foreign,96,00,,,2940155,5475457,133354535
US,Total Migration-US,97,00,,,2836418,5282519,128371628
FO,Total Migration-Foreign,98,00,,,103737,192938,4982907
US+FO,Total Migration-US and Foreign,96,01,AL,Alabama,40170,81092,1575806
US,Total Migration-US,97,01,AL,Alabama,39098,78900,1530544
FO,Total Migration-Foreign,98,01,AL,Alabama,1072,2192,45262
AL,AL Non-migrants,01,01,AL,Alabama,1604990,3609606,79341033
GA,Georgia,13,01,AL,Alabama,6962,13766,228017
FL,Florida,12,01,AL,Alabama,5526,10677,208504
TN,Tennessee,47,01,AL,Alabama,3351,6712,143978
TX,Texas,48,01,AL,Alabama,3180,6730,138898
MS,Mississippi,28,01,AL,Alabama,2408,4841,81724
NC,North Carolina,37,01,AL,Alabama,1518,3141,67128
LA,Louisiana,22,01,AL,Alabama,1330,2709,51806
CA,California,06,01,AL,Alabama,1283,2465,46183
VA,Virginia,51,01,AL,Alabama,1179,2503,62589
FR,Foreign,57,01,AL,Alabama,1072,2192,45262
SC,South Carolina,45,01,AL,Alabama,861,1733,37190
NY,New York,36,01,AL,Alabama,795,1487,23553
OH,Ohio,39,01,AL,Alabama,772,1531,27567
IL,Illinois,17,01,AL,Alabama,755,1491,27916
KY,Kentucky,21,01,AL,Alabama,729,1619,30317
MI,Michigan,26,01,AL,Alabama,691,1391,21065
CO,Colorado,08,01,AL,Alabama,593,1205,25893
MO,Missouri,29,01,AL,Alabama,522,1066,24323
IN,Indiana,18,01,AL,Alabama,496,1057,21592
PA,Pennsylvania,42,01,AL,Alabama,483,979,21159
MD,Maryland,24,01,AL,Alabama,459,875,20248
WA,Washington,53,01,AL,Alabama,457,996,20375
AZ,Arizona,04,01,AL,Alabama,452,887,20510
AR,Arkansas,05,01,AL,Alabama,429,967,15871
OK,Oklahoma,40,01,AL,Alabama,405,898,15854
KS,Kansas,20,01,AL,Alabama,386,957,17293
MA,Massachusetts,25,01,AL,Alabama,241,443,10881
AK,Alaska,02,01,AL,Alabama,230,534,10033
NJ,New Jersey,34,01,AL,Alabama,226,457,9383
WI,Wisconsin,55,01,AL,Alabama,213,444,8274
HI,Hawaii,15,01,AL,Alabama,210,445,7804
NV,Nevada,32,01,AL,Alabama,192,365,7135
MN,Minnesota,27,01,AL,Alabama,166,315,7431
NM,New Mexico,35,01,AL,Alabama,166,382,9289
UT,Utah,49,01,AL,Alabama,165,358,9447
OR,Oregon,41,01,AL,Alabama,145,270,5179
IA,Iowa,19,01,AL,Alabama,141,280,6780
NE,Nebraska,31,01,AL,Alabama,134,312,4862
WV,West Virginia,54,01,AL,Alabama,134,255,4754
CT,Connecticut,09,01,AL,Alabama,123,224,5008
DC,District of Columbia,11,01,AL,Alabama,78,99,2988
SD,South Dakota,46,01,AL,Alabama,64,122,3217
MT,Montana,30,01,AL,Alabama,62,130,2815
ID,Idaho,16,01,AL,Alabama,60,143,2132
ME,Maine,23,01,AL,Alabama,60,119,2892
NH,New Hampshire,33,01,AL,Alabama,58,105,2536
ND,North Dakota,38,01,AL,Alabama,52,97,1430
WY,Wyoming,56,01,AL,Alabama,52,101,1845
DE,Delaware,10,01,AL,Alabama,51,113,1928
RI,Rhode Island,44,01,AL,Alabama,34,63,1991
VT,Vermont,50,01,AL,Alabama,19,41,957
US+FO,Total Migration-US and Foreign,96,02,AK,Alaska,14409,28932,652250
US,Total Migration-US,97,02,AK,Alaska,13864,27727,626303
FO,Total Migration-Foreign,98,02,AK,Alaska,545,1205,25946
AK,AK Non-migrants,02,02,AK,Alaska,246182,518613,15662324
WA,Washington,53,02,AK,Alaska,1617,2841,74609
CA,California,06,02,AK,Alaska,1236,2281,46362
TX,Texas,48,02,AK,Alaska,1124,2580,62079
OR,Oregon,41,02,AK,Alaska,777,1324,34506
AZ,Arizona,04,02,AK,Alaska,626,1233,31419
FL,Florida,12,02,AK,Alaska,577,1118,25223
CO,Colorado,08,02,AK,Alaska,571,1088,24717
FR,Foreign,57,02,AK,Alaska,545,1205,25946
VA,Virginia,51,02,AK,Alaska,384,891,18699
GA,Georgia,13,02,AK,Alaska,382,899,15532
ID,Idaho,16,02,AK,Alaska,357,718,19924
NV,Nevada,32,02,AK,Alaska,355,687,17980
NC,North Carolina,37,02,AK,Alaska,347,756,13660
HI,Hawaii,15,02,AK,Alaska,287,607,13517
NY,New York,36,02,AK,Alaska,280,538,9948
NM,New Mexico,35,02,AK,Alaska,276,577,14506
MT,Montana,30,02,AK,Alaska,248,452,12465
