y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,AL Total Migration-US and Foreign,96,01,AL,Alabama,45226,89318,2474087
US,Total Migration-US,97,01,AL,Alabama,44600,87927,2439333
FO,Total Migration-Foreign,98,01,AL,Alabama,626,1391,34755
US,AL Total Migration-Same State,97,01,AL,Alabama,59337,119622,2833824
AL,AL Non-migrants,01,01,AL,Alabama,1582765,3468405,104423723
GA,Georgia,13,01,AL,Alabama,8046,15813,382562
FL,Florida,12,01,AL,Alabama,6859,13261,415716
TN,Tennessee,47,01,AL,Alabama,4097,7803,218707
TX,Texas,48,01,AL,Alabama,3436,7080,197865
MS,Mississippi,28,01,AL,Alabama,2387,4925,111077
NC,North Carolina,37,01,AL,Alabama,1705,3372,96085
CA,California,06,01,AL,Alabama,1531,2797,80557
VA,Virginia,51,01,AL,Alabama,1327,2772,93065
LA,Louisiana,22,01,AL,Alabama,1156,2201,63399
SC,South Carolina,45,01,AL,Alabama,1060,2264,83605
CO,Colorado,08,01,AL,Alabama,928,1785,62049
NY,New York,36,01,AL,Alabama,838,1552,39660
OH,Ohio,39,01,AL,Alabama,819,1625,41016
IL,Illinois,17,01,AL,Alabama,750,1429,37299
KY,Kentucky,21,01,AL,Alabama,743,1519,36672
MI,Michigan,26,01,AL,Alabama,706,1362,35040
WA,Washington,53,01,AL,Alabama,692,1375,39495
IN,Indiana,18,01,AL,Alabama,633,1260,29313
FR,Foreign,57,01,AL,Alabama,626,1391,34755
AZ,Arizona,04,01,AL,Alabama,581,1169,35359
MO,Missouri,29,01,AL,Alabama,547,1106,27704
MD,Maryland,24,01,AL,Alabama,494,906,28185
PA,Pennsylvania,42,01,AL,Alabama,491,930,29934
AR,Arkansas,05,01,AL,Alabama,439,866,18777
OK,Oklahoma,40,01,AL,Alabama,362,753,19753
KS,Kansas,20,01,AL,Alabama,338,769,18909
NJ,New Jersey,34,01,AL,Alabama,282,522,16235
WI,Wisconsin,55,01,AL,Alabama,277,523,13886
MA,Massachusetts,25,01,AL,Alabama,272,485,17628
NV,Nevada,32,01,AL,Alabama,272,542,12387
OR,Oregon,41,01,AL,Alabama,247,452,14041
HI,Hawaii,15,01,AL,Alabama,230,565,14775
MN,Minnesota,27,01,AL,Alabama,214,416,10766
AK,Alaska,02,01,AL,Alabama,186,468,10405
UT,Utah,49,01,AL,Alabama,185,407,11894
IA,Iowa,19,01,AL,Alabama,183,364,9251
NM,New Mexico,35,01,AL,Alabama,166,324,5535
CT,Connecticut,09,01,AL,Alabama,130,228,6548
DC,District of Columbia,11,01,AL,Alabama,126,179,9600
WV,West Virginia,54,01,AL,Alabama,120,251,5381
NE,Nebraska,31,01,AL,Alabama,111,238,5830
ID,Idaho,16,01,AL,Alabama,110,252,5114
MT,Montana,30,01,AL,Alabama,98,183,4681
ND,North Dakota,38,01,AL,Alabama,76,170,3469
ME,Maine,23,01,AL,Alabama,73,163,5306
DE,Delaware,10,01,AL,Alabama,56,99,3408
WY,Wyoming,56,01,AL,Alabama,56,107,2915
NH,New Hampshire,33,01,AL,Alabama,55,97,2284
SD,South Dakota,46,01,AL,Alabama,44,93,3132
RI,Rhode Island,44,01,AL,Alabama,41,68,1866
VT,Vermont,50,01,AL,Alabama,25,37,1192
US+FO,AK Total Migration-US and Foreign,96,02,AK,Alaska,17978,35890,1063918
US,Total Migration-US,97,02,AK,Alaska,17568,35030,1042243
FO,Total Migration-Foreign,98,02,AK,Alaska,410,860,21675
US,AK Total Migration-Same State,97,02,AK,Alaska,6313,11863,357507
AK,AK Non-migrants,02,02,AK,Alaska,258617,541059,20796383
WA,Washington,53,02,AK,Alaska,2252,4173,131725
CA,California,06,02,AK,Alaska,1434,2561,70079
TX,Texas,48,02,AK,Alaska,1302,2989,89762
AZ,Arizona,04,02,AK,Alaska,992,1888,66794
OR,Oregon,41,02,AK,Alaska,963,1712,57723
FL,Florida,12,02,AK,Alaska,832,1614,49044
CO,Colorado,08,02,AK,Alaska,786,1449,47287
NV,Nevada,32,02,AK,Alaska,534,1031,33489
ID,Idaho,16,02,AK,Alaska,529,1102,36578
NC,North Carolina,37,02,AK,Alaska,493,1052,25628
GA,Georgia,13,02,AK,Alaska,472,1043,23577
HI,Hawaii,15,02,AK,Alaska,430,866,24705
VA,Virginia,51,02,AK,Alaska,424,921,26897
FR,Foreign,57,02,AK,Alaska,410,860,21675
UT,Utah,49,02,AK,Alaska,334,744,21514
NY,New York,36,02,AK,Alaska,331,593,16196
MT,Montana,30,02,AK,Alaska,322,612,22050
MI,Michigan,26,02,AK,Alaska,314,591,17558
MN,Minnesota,27,02,AK,Alaska,307,608,15675
TN,Tennessee,47,02,AK,Alaska,297,680,18321
PA,Pennsylvania,42,02,AK,Alaska,251,452,14485
OK,Oklahoma,40,02,AK,Alaska,247,568,16214
MO,Missouri,29,02,AK,Alaska,246,555,14690
OH,Ohio,39,02,AK,Alaska,246,490,12735
SC,South Carolina,45,02,AK,Alaska,226,496,13998
IL,Illinois,17,02,AK,Alaska,215,409,11348
NM,New Mexico,35,02,AK,Alaska,214,470,12346
AL,Alabama,01,02,AK,Alaska,212,491,13957
WI,Wisconsin,55,02,AK,Alaska,212,408,12332
KS,Kansas,20,02,AK,Alaska,197,484,10809
MD,Maryland,24,02,AK,Alaska,173,367,10395
LA,Louisiana,22,02,AK,Alaska,155,381,9599
KY,Kentucky,21,02,AK,Alaska,152,333,8724
IN,Indiana,18,02,AK,Alaska,146,287,7377
NJ,New Jersey,34,02,AK,Alaska,127,225,5271
MA,Massachusetts,25,02,AK,Alaska,119,206,6298
AR,Arkansas,05,02,AK,Alaska,119,246,6056
IA,Iowa,19,02,AK,Alaska,117,266,6603
