y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,AL Total Migration-US and Foreign,96,01,AL,Alabama,49961,88139,3193874
US,Total Migration-US,97,01,AL,Alabama,49167,86565,3140151
FO,Total Migration-Foreign,98,01,AL,Alabama,794,1574,53723
US,AL Total Migration-Same State,97,01,AL,Alabama,64836,120055,3691289
AL,AL Non-migrants,01,01,AL,Alabama,1713388,3550021,139765985
GA,Georgia,13,01,AL,Alabama,8527,15500,466822
FL,Florida,12,01,AL,Alabama,7060,12289,524870
TN,Tennessee,47,01,AL,Alabama,4554,7613,292191
TX,Texas,48,01,AL,Alabama,4359,7913,296646
MS,Mississippi,28,01,AL,Alabama,2588,4788,151275
NC,North Carolina,37,01,AL,Alabama,1904,3351,125401
CA,California,06,01,AL,Alabama,1589,2630,111006
VA,Virginia,51,01,AL,Alabama,1388,2559,106126
SC,South Carolina,45,01,AL,Alabama,1189,2053,89520
CO,Colorado,08,01,AL,Alabama,1135,1925,75846
LA,Louisiana,22,01,AL,Alabama,1101,1894,66858
OH,Ohio,39,01,AL,Alabama,944,1714,54482
IL,Illinois,17,01,AL,Alabama,940,1567,53642
NY,New York,36,01,AL,Alabama,931,1442,50374
MI,Michigan,26,01,AL,Alabama,815,1347,36290
FR,Foreign,57,01,AL,Alabama,794,1574,53723
KY,Kentucky,21,01,AL,Alabama,750,1353,49559
WA,Washington,53,01,AL,Alabama,686,1187,43927
IN,Indiana,18,01,AL,Alabama,679,1200,35244
MO,Missouri,29,01,AL,Alabama,650,1163,38850
AZ,Arizona,04,01,AL,Alabama,604,1067,40409
PA,Pennsylvania,42,01,AL,Alabama,560,910,31649
MD,Maryland,24,01,AL,Alabama,554,932,40185
AR,Arkansas,05,01,AL,Alabama,464,847,28590
OK,Oklahoma,40,01,AL,Alabama,420,864,24064
KS,Kansas,20,01,AL,Alabama,363,782,21627
WI,Wisconsin,55,01,AL,Alabama,340,574,19396
MA,Massachusetts,25,01,AL,Alabama,319,471,21692
NV,Nevada,32,01,AL,Alabama,316,567,20413
NJ,New Jersey,34,01,AL,Alabama,300,472,18722
OR,Oregon,41,01,AL,Alabama,277,444,16439
UT,Utah,49,01,AL,Alabama,276,525,20778
MN,Minnesota,27,01,AL,Alabama,248,399,14329
IA,Iowa,19,01,AL,Alabama,222,436,13727
NM,New Mexico,35,01,AL,Alabama,214,369,14524
HI,Hawaii,15,01,AL,Alabama,212,447,14614
AK,Alaska,02,01,AL,Alabama,210,403,12585
