y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,AL Total Migration-US and Foreign,96,01,AL,Alabama,44461,89926,2507957
US,Total Migration-US,97,01,AL,Alabama,43638,88139,2460974
FO,Total Migration-Foreign,98,01,AL,Alabama,823,1787,46982
US,AL Total Migration-Same State,97,01,AL,Alabama,56323,115151,2486684
AL,AL Non-migrants,01,01,AL,Alabama,1586719,3527365,98693046
GA,Georgia,13,01,AL,Alabama,8103,16268,379251
FL,Florida,12,01,AL,Alabama,6493,12760,398129
TN,Tennessee,47,01,AL,Alabama,4043,7929,273599
TX,Texas,48,01,AL,Alabama,3602,7789,203940
MS,Mississippi,28,01,AL,Alabama,2369,4772,108413
NC,North Carolina,37,01,AL,Alabama,1725,3574,96944
CA,California,06,01,AL,Alabama,1544,2864,95036
LA,Louisiana,22,01,AL,Alabama,1285,2544,67787
VA,Virginia,51,01,AL,Alabama,1242,2671,77510
CO,Colorado,08,01,AL,Alabama,935,1777,72989
SC,South Carolina,45,01,AL,Alabama,919,1897,57744
OH,Ohio,39,01,AL,Alabama,856,1736,44834
FR,Foreign,57,01,AL,Alabama,823,1787,46982
NY,New York,36,01,AL,Alabama,767,1525,64801
KY,Kentucky,21,01,AL,Alabama,751,1664,41052
IL,Illinois,17,01,AL,Alabama,695,1313,32036
MI,Michigan,26,01,AL,Alabama,682,1406,32432
WA,Washington,53,01,AL,Alabama,614,1273,34346
IN,Indiana,18,01,AL,Alabama,548,1145,26296
MO,Missouri,29,01,AL,Alabama,531,1083,28886
AZ,Arizona,04,01,AL,Alabama,471,924,28134
PA,Pennsylvania,42,01,AL,Alabama,458,885,25979
MD,Maryland,24,01,AL,Alabama,452,838,25426
AR,Arkansas,05,01,AL,Alabama,403,849,21199
KS,Kansas,20,01,AL,Alabama,378,951,20232
OK,Oklahoma,40,01,AL,Alabama,344,756,20547
NJ,New Jersey,34,01,AL,Alabama,243,486,13857
WI,Wisconsin,55,01,AL,Alabama,241,487,11406
MA,Massachusetts,25,01,AL,Alabama,239,445,16062
HI,Hawaii,15,01,AL,Alabama,236,566,13541
NV,Nevada,32,01,AL,Alabama,223,414,8863
OR,Oregon,41,01,AL,Alabama,218,395,11584
IA,Iowa,19,01,AL,Alabama,208,438,10476
AK,Alaska,02,01,AL,Alabama,195,475,10526
NM,New Mexico,35,01,AL,Alabama,181,342,10133
MN,Minnesota,27,01,AL,Alabama,178,347,9430
UT,Utah,49,01,AL,Alabama,175,388,9775
WV,West Virginia,54,01,AL,Alabama,128,264,7261
DC,District of Columbia,11,01,AL,Alabama,119,153,7537
CT,Connecticut,09,01,AL,Alabama,117,221,5524
NE,Nebraska,31,01,AL,Alabama,99,221,5856
MT,Montana,30,01,AL,Alabama,93,232,5032
ND,North Dakota,38,01,AL,Alabama,87,185,3636
ID,Idaho,16,01,AL,Alabama,75,164,3235
ME,Maine,23,01,AL,Alabama,74,142,4030
WY,Wyoming,56,01,AL,Alabama,66,110,3816
RI,Rhode Island,44,01,AL,Alabama,61,113,2999
SD,South Dakota,46,01,AL,Alabama,56,115,2409
NH,New Hampshire,33,01,AL,Alabama,51,102,2342
DE,Delaware,10,01,AL,Alabama,40,83,1429
VT,Vermont,50,01,AL,Alabama,25,58,2673
US+FO,AK Total Migration-US and Foreign,96,02,AK,Alaska,17583,35476,1059270
US,Total Migration-US,97,02,AK,Alaska,17075,34432,1027959
FO,Total Migration-Foreign,98,02,AK,Alaska,508,1044,31311
US,AK Total Migration-Same State,97,02,AK,Alaska,6977,13185,400587
AK,AK Non-migrants,02,02,AK,Alaska,263504,551228,21573844
WA,Washington,53,02,AK,Alaska,2211,4029,140940
CA,California,06,02,AK,Alaska,1510,2720,75415
TX,Texas,48,02,AK,Alaska,1370,3090,107007
OR,Oregon,41,02,AK,Alaska,1070,1901,61589
FL,Florida,12,02,AK,Alaska,796,1589,44244
CO,Colorado,08,02,AK,Alaska,788,1583,49645
AZ,Arizona,04,02,AK,Alaska,776,1511,51951
NC,North Carolina,37,02,AK,Alaska,523,1198,26968
FR,Foreign,57,02,AK,Alaska,508,1044,31311
ID,Idaho,16,02,AK,Alaska,466,956,31515
GA,Georgia,13,02,AK,Alaska,442,1043,21281
