y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,AL Total Migration-US and Foreign,96,01,AL,Alabama,47342,98079,2166615
US,Total Migration-US,97,01,AL,Alabama,46500,96189,2126211
FO,Total Migration-Foreign,98,01,AL,Alabama,842,1890,40404
US,AL Total Migration-Same State,97,01,AL,Alabama,56941,120358,2291807
AL,AL Non-migrants,01,01,AL,Alabama,1580065,3564148,91645908
GA,Georgia,13,01,AL,Alabama,8599,17877,337056
FL,Florida,12,01,AL,Alabama,6676,13270,270965
TX,Texas,48,01,AL,Alabama,5212,11506,285880
TN,Tennessee,47,01,AL,Alabama,3923,7996,176116
MS,Mississippi,28,01,AL,Alabama,2562,5364,101504
CA,California,06,01,AL,Alabama,1590,3007,79686
NC,North Carolina,37,01,AL,Alabama,1588,3353,79762
LA,Louisiana,22,01,AL,Alabama,1374,2793,67489
VA,Virginia,51,01,AL,Alabama,1258,2818,74468
SC,South Carolina,45,01,AL,Alabama,982,2073,56487
OH,Ohio,39,01,AL,Alabama,871,1825,41072
FR,Foreign,57,01,AL,Alabama,842,1890,40404
NY,New York,36,01,AL,Alabama,813,1481,29005
CO,Colorado,08,01,AL,Alabama,812,1647,37991
KY,Kentucky,21,01,AL,Alabama,752,1694,35117
MI,Michigan,26,01,AL,Alabama,715,1480,28884
IL,Illinois,17,01,AL,Alabama,712,1387,30007
IN,Indiana,18,01,AL,Alabama,617,1346,25336
MO,Missouri,29,01,AL,Alabama,601,1213,28736
WA,Washington,53,01,AL,Alabama,580,1257,28211
PA,Pennsylvania,42,01,AL,Alabama,507,996,28329
MD,Maryland,24,01,AL,Alabama,497,1003,28769
AZ,Arizona,04,01,AL,Alabama,472,966,23999
AR,Arkansas,05,01,AL,Alabama,463,960,21761
OK,Oklahoma,40,01,AL,Alabama,397,884,19150
KS,Kansas,20,01,AL,Alabama,341,790,16064
HI,Hawaii,15,01,AL,Alabama,275,608,12392
WI,Wisconsin,55,01,AL,Alabama,252,517,9930
NV,Nevada,32,01,AL,Alabama,249,480,9386
NJ,New Jersey,34,01,AL,Alabama,249,503,14101
MA,Massachusetts,25,01,AL,Alabama,229,405,10844
OR,Oregon,41,01,AL,Alabama,203,405,8982
AK,Alaska,02,01,AL,Alabama,193,413,8603
MN,Minnesota,27,01,AL,Alabama,182,394,8552
NM,New Mexico,35,01,AL,Alabama,170,348,8471
IA,Iowa,19,01,AL,Alabama,167,337,7358
UT,Utah,49,01,AL,Alabama,158,337,8952
CT,Connecticut,09,01,AL,Alabama,146,289,16503
NE,Nebraska,31,01,AL,Alabama,143,346,6256
WV,West Virginia,54,01,AL,Alabama,131,258,5898
DC,District of Columbia,11,01,AL,Alabama,116,148,6270
ND,North Dakota,38,01,AL,Alabama,103,188,3691
MT,Montana,30,01,AL,Alabama,97,172,3560
ID,Idaho,16,01,AL,Alabama,89,216,3845
NH,New Hampshire,33,01,AL,Alabama,76,143,4334
WY,Wyoming,56,01,AL,Alabama,76,148,3028
DE,Delaware,10,01,AL,Alabama,75,144,3877
ME,Maine,23,01,AL,Alabama,72,136,3023
SD,South Dakota,46,01,AL,Alabama,62,128,2565
