y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,AL Total Migration-US and Foreign,96,01,AL,Alabama,47665,85968,3223014
US,Total Migration-US,97,01,AL,Alabama,47179,84874,3187972
FO,Total Migration-Foreign,98,01,AL,Alabama,486,1094,35042
US,AL Total Migration-Same State,97,01,AL,Alabama,63832,119588,3790741
AL,AL Non-migrants,01,01,AL,Alabama,1670844,3472380,134752668
GA,Georgia,13,01,AL,Alabama,8159,14709,482328
FL,Florida,12,01,AL,Alabama,7124,12769,601845
TN,Tennessee,47,01,AL,Alabama,4344,7603,284335
TX,Texas,48,01,AL,Alabama,4059,7414,270444
MS,Mississippi,28,01,AL,Alabama,2542,4627,132309
NC,North Carolina,37,01,AL,Alabama,1843,3333,132894
CA,California,06,01,AL,Alabama,1579,2556,111415
VA,Virginia,51,01,AL,Alabama,1343,2563,100501
CO,Colorado,08,01,AL,Alabama,1109,1912,96181
SC,South Carolina,45,01,AL,Alabama,1102,2022,84265
LA,Louisiana,22,01,AL,Alabama,948,1721,69671
OH,Ohio,39,01,AL,Alabama,915,1708,57198
IL,Illinois,17,01,AL,Alabama,902,1634,50106
KY,Kentucky,21,01,AL,Alabama,756,1475,47867
MI,Michigan,26,01,AL,Alabama,754,1412,40253
NY,New York,36,01,AL,Alabama,751,1216,56849
IN,Indiana,18,01,AL,Alabama,685,1220,37170
WA,Washington,53,01,AL,Alabama,657,1092,42982
AZ,Arizona,04,01,AL,Alabama,606,1121,42884
MO,Missouri,29,01,AL,Alabama,584,1075,35140
PA,Pennsylvania,42,01,AL,Alabama,582,1019,33284
MD,Maryland,24,01,AL,Alabama,533,890,34069
FR,Foreign,57,01,AL,Alabama,486,1094,35042
AR,Arkansas,05,01,AL,Alabama,471,896,29428
OK,Oklahoma,40,01,AL,Alabama,362,731,20370
MA,Massachusetts,25,01,AL,Alabama,328,525,23046
KS,Kansas,20,01,AL,Alabama,316,644,17743
UT,Utah,49,01,AL,Alabama,283,552,21172
WI,Wisconsin,55,01,AL,Alabama,278,506,17053
OR,Oregon,41,01,AL,Alabama,269,424,16391
NJ,New Jersey,34,01,AL,Alabama,269,460,19155
NV,Nevada,32,01,AL,Alabama,266,472,15226
MN,Minnesota,27,01,AL,Alabama,240,428,15023
HI,Hawaii,15,01,AL,Alabama,227,509,16721
NM,New Mexico,35,01,AL,Alabama,212,372,14994
AK,Alaska,02,01,AL,Alabama,199,453,11162
IA,Iowa,19,01,AL,Alabama,185,325,9452
NE,Nebraska,31,01,AL,Alabama,159,307,10323
DC,District of Columbia,11,01,AL,Alabama,152,199,10062
WV,West Virginia,54,01,AL,Alabama,142,265,12421
MT,Montana,30,01,AL,Alabama,140,247,9026
CT,Connecticut,09,01,AL,Alabama,138,208,7302
ID,Idaho,16,01,AL,Alabama,118,248,8222
ME,Maine,23,01,AL,Alabama,88,162,4613
ND,North Dakota,38,01,AL,Alabama,79,145,4755
DE,Delaware,10,01,AL,Alabama,75,135,5275
NH,New Hampshire,33,01,AL,Alabama,75,146,5703
SD,South Dakota,46,01,AL,Alabama,74,136,4365
WY,Wyoming,56,01,AL,Alabama,63,122,6025
VT,Vermont,50,01,AL,Alabama,51,93,5690
RI,Rhode Island,44,01,AL,Alabama,43,73,3266
US+FO,AK Total Migration-US and Foreign,96,02,AK,Alaska,16834,32471,1281505
US,Total Migration-US,97,02,AK,Alaska,16482,31733,1256946
FO,Total Migration-Foreign,98,02,AK,Alaska,352,738,24559
US,AK Total Migration-Same State,97,02,AK,Alaska,6377,11742,438393
AK,AK Non-migrants,02,02,AK,Alaska,266296,535471,25519259
WA,Washington,53,02,AK,Alaska,1720,3041,129430
TX,Texas,48,02,AK,Alaska,1469,3086,120741
CA,California,06,02,AK,Alaska,1150,1972,72934
AZ,Arizona,04,02,AK,Alaska,1013,1839,88176
FL,Florida,12,02,AK,Alaska,982,1877,73283
OR,Oregon,41,02,AK,Alaska,711,1214,59212
CO,Colorado,08,02,AK,Alaska,700,1289,52150
NC,North Carolina,37,02,AK,Alaska,528,1133,34800
GA,Georgia,13,02,AK,Alaska,485,1043,30265
NV,Nevada,32,02,AK,Alaska,439,810,38471
ID,Idaho,16,02,AK,Alaska,424,775,35437
VA,Virginia,51,02,AK,Alaska,415,954,33502
TN,Tennessee,47,02,AK,Alaska,356,721,23900
FR,Foreign,57,02,AK,Alaska,352,738,24559
